Date,Realized 5-day PnL,Historical VaR,Parametric VaR,Monte Carlo VaR,EWMA VaR,GARCH VaR,FHS VaR
2008-02-22,12876.613175206221,,,,,,
2008-02-25,5712.859259262176,,,,,,
2008-02-26,-10456.741447287523,,,,,,
2008-02-27,-14595.647397557064,,,,,,
2008-02-28,-15773.855125310605,,,,,,
2008-02-29,-18065.412505287502,,,,,,
2008-03-03,-18655.149291070593,,,,,,
2008-03-04,-24219.982938747464,,,,,,
2008-03-05,-12720.436342275794,,,,,,
2008-03-06,-8208.414237153567,,,,,,
2008-03-07,-20823.840414304304,,,,,,
2008-03-10,-17913.666428823883,,,,,,
2008-03-11,-13610.47301909304,,,,,,
2008-03-12,-13619.158784434663,,,,,,
2008-03-13,-12326.324010248392,,,,,,
2008-03-14,3580.080632393648,,,,,,
2008-03-17,18704.061069470008,,,,,,
2008-03-18,38614.20840455746,,,,,,
2008-03-19,26685.30554872858,,,,,,
2008-03-20,17275.66530751038,,,,,,
2008-03-24,17355.58674502461,,,,,,
2008-03-25,14156.535464717155,,,,,,
2008-03-26,12282.73098177058,,,,,,
2008-03-27,19733.27959243579,,,,,,
2008-03-28,26865.52248717878,,,,,,
2008-03-31,23511.331136275498,,,,,,
2008-04-01,20191.060949020815,,,,,,
2008-04-02,9418.378169049134,,,,,,
2008-04-03,4525.831935160422,,,,,,
2008-04-04,-1630.0724162278743,,,,,,
2008-04-07,-14192.879331675123,,,,,,
2008-04-08,-16388.820536838317,,,,,,
2008-04-10,-5403.850975079944,,,,,,
2008-04-11,-5762.866714452417,,,,,,
2008-04-14,2028.5264429415165,,,,,,
2008-04-15,18458.49116798988,,,,,,
2008-04-16,15139.899150384848,,,,,,
2008-04-17,11310.247290939871,,,,,,
2008-04-18,9061.55038156937,,,,,,
2008-04-21,10569.745056582813,,,,,,
2008-04-22,1746.7524880249132,,,,,,
2008-04-23,2007.6752760450072,,,,,,
2008-04-24,2399.9144963079043,,,,,,
2008-04-25,13156.43460914572,,,,,,
2008-04-28,6808.441583734631,,,,,,
2008-04-29,2488.565585759714,,,,,,
2008-04-30,8982.890816407635,,,,,,
2008-05-02,3046.77149348238,,,,,,
2008-05-06,-2862.3617184692775,,,,,,
2008-05-07,-3776.347246569764,,,,,,
2008-05-08,13468.6747608022,,,,,,
2008-05-09,10273.95703727129,,,,,,
2008-05-13,13812.11692816802,,,,,,
2008-05-14,6080.385490052597,,,,,,
2008-05-15,-3566.6131806714534,,,,,,
2008-05-16,-15728.941787945576,,,,,,
2008-05-19,-18190.357622501437,,,,,,
2008-05-20,-20217.45180006038,,,,,,
2008-05-21,-20963.50745388128,,,,,,
2008-05-22,-3796.8213435316256,,,,,,
2008-05-23,2917.1344101008476,,,,,,
2008-05-27,3280.3365778350185,,,,,,
2008-05-28,-1901.7420722237257,,,,,,
2008-05-29,4843.547904651083,,,,,,
2008-05-30,167.79340248005911,,,,,,
2008-06-02,-17811.02644964912,,,,,,
2008-06-03,-26925.927617118712,,,,,,
2008-06-04,-21990.705412699714,,,,,,
2008-06-05,-32986.47415203032,,,,,,
2008-06-09,-32136.056668349658,,,,,,
2008-06-10,-17374.57188924914,,,,,,
2008-06-11,-11881.317886890334,,,,,,
2008-06-12,-6738.661065629528,,,,,,
2008-06-13,-4397.354621537757,,,,,,
2008-06-16,-13544.918145238655,,,,,,
2008-06-17,-18817.05778033429,,,,,,
2008-06-18,-15321.775566606555,,,,,,
